dataset,variant,seed,epoch,edge_id,src_node,dst_node,prev_mask,current_mask,mask_delta,graph_score,graph_utility,src_degree,dst_degree,src_feature_norm,dst_feature_norm,src_node_importance,dst_node_importance,edge_importance,graph_keep,param_keep
photo,dual_static,1,20,0,0,5167,1.0,0.9828571081161499,0.017142891883850098,1.9500229358673096,5.977742745244541e-09,10.0,26.0,0.0990147516131401,0.059131234884262085,0.18490754067897797,0.18163174390792847,0.09360077232122421,0.9828571677207947,0.9828571677207947
photo,dual_static,1,20,1,0,4771,1.0,0.9828571081161499,0.017142891883850098,1.9500229358673096,1.096396040622949e-08,10.0,59.0,0.0990147516131401,0.06509445607662201,0.18490754067897797,0.23138318955898285,0.10767848789691925,0.9828571677207947,0.9828571677207947
photo,dual_static,1,20,2,0,4337,1.0,0.9828571081161499,0.017142891883850098,1.9500229358673096,5.025939220359987e-09,10.0,26.0,0.0990147516131401,0.0842151939868927,0.18490754067897797,0.2089574933052063,0.10011918097734451,0.9828571677207947,0.9828571677207947
photo,dual_static,1,20,3,0,3578,1.0,0.9828571081161499,0.017142891883850098,1.9500229358673096,1.778940728058842e-08,10.0,401.0,0.0990147516131401,0.03668644279241562,0.18490754067897797,0.27657338976860046,0.12122076749801636,0.9828571677207947,0.9828571677207947
photo,dual_static,1,20,4,0,7395,1.0,0.9828571081161499,0.017142891883850098,1.9500229358673096,1.7240566307918925e-08,10.0,333.0,0.0990147516131401,0.03990434482693672,0.18490754067897797,0.27661019563674927,0.12104947865009308,0.9828571677207947,0.9828571677207947
photo,dual_static,1,20,5,0,1210,1.0,0.9828571081161499,0.017142891883850098,1.9500229358673096,1.606295896294796e-08,10.0,254.0,0.0990147516131401,0.04800153523683548,0.18490754067897797,0.2726704478263855,0.11967725306749344,0.9828571677207947,0.9828571677207947
photo,dual_static,1,20,6,0,2198,1.0,0.9828571081161499,0.017142891883850098,1.9500229358673096,1.915028313703715e-08,10.0,1434.0,0.0990147516131401,0.03776947781443596,0.18490754067897797,0.33834072947502136,0.1371101588010788,0.9828571677207947,0.9828571677207947
photo,dual_static,1,20,7,0,5372,1.0,0.9828571081161499,0.017142891883850098,1.9500229358673096,1.5258720509336854e-08,10.0,185.0,0.0990147516131401,0.055727824568748474,0.18490754067897797,0.26473093032836914,0.11742787808179855,0.9828571677207947,0.9828571677207947
photo,dual_static,1,20,8,0,3152,1.0,0.9828571081161499,0.017142891883850098,1.9500229358673096,1.6184262818796924e-08,10.0,178.0,0.0990147516131401,0.03755578771233559,0.18490754067897797,0.245711088180542,0.11297730356454849,0.9828571677207947,0.9828571677207947
photo,dual_static,1,20,9,0,2239,1.0,0.9828571081161499,0.017142891883850098,1.9500229358673096,1.886961698005507e-08,10.0,997.0,0.0990147516131401,0.036961063742637634,0.18490754067897797,0.3212321996688843,0.13274073600769043,0.9828571677207947,0.9828571677207947
